Product,Type,Price,Category
allergisk,Tuffet,49,room
allians,Bookcase,9,bookcase
allierad,Mattress,19,mattress
allmoge,Murphy bed,209,bed
allmosa,Gun cabinet,69,cabinet
allmän,Hammock,29,hammock
allmänhet,Waterbed,69,bed
allmänning,Bar cabinet,49,cabinet
allround,Liquor cabinet,9,cabinet
allsköns,Plant stand,19,potted plant
allsmäktig,Liquor cabinet,49,cabinet
allsvensk,Bookcase,9,bookcase
alltiallo,Cupboard,9,cupboard
allvar,Wardrobe,9,wardrobe
allvarlig,Waterbed,229,bed
alm,Canopy bed,119,bed
almanacka,Hammock,39,hammock
alpin,Bunk bed,159,bed
alster,Entertainment center,59,hifi system
alt,Billiard table,39,table
altan,Television set,9,television
altare,Kitchen cabinet,59,cabinet
alternera,Radio receiver,29,radio receiver
altruist,Radio receiver,109,radio receiver
aluminium,Jukebox,19,record player
amalgam,Gun cabinet,49,cabinet
amason,Accubita,109,accubita
amatör,Radio receiver,119,radio receiver
ambassad,Murphy bed,179,bed
ambassadör,Accubita,39,accubita
ambition,Hoosier cabinet,39,cabinet
ambitiös,Tuffet,9,room
ambivalent,Kitchen cabinet,49,cabinet
ambulans,Entertainment center,19,hifi system
amerikan,Accubita,79,accubita
amerikanare,Chest of drawers,109,drawers
amerikansk,Chess table,129,table
amfiteater,Canopy bed,149,bed
amiral,Kitchen cabinet,69,cabinet
amma,Plant stand,39,potted plant
ammunition,Cabinetry,59,cabinet
amnesti,Piano,49,music
amning,Chifforobe,69,room
amok,Hall tree,39,hatstand
amoralisk,Plan chest,79,cabinet
amortera,Hoosier cabinet,59,cabinet
amortering,Bookcase,9,bookcase
ampere,Television set,9,television
ampull,Accubita,99,accubita
amputera,Platform bed,139,bed
amulett,Futon,169,bed
anabol,Radio receiver,69,radio receiver
anakronism,Chest of drawers,89,drawers
analfabet,Baker's rack,4,rack
analog,Plant stand,49,potted plant
analogi,Baker's rack,24,rack
analys,Liquor cabinet,9,cabinet
analysera,Jukebox,99,record player
anamma,Accubita,129,accubita
anamnes,Curio cabinet,159,cabinet
ananas,Cupboard,9,cupboard
ana,Filing cabinet,89,cabinet
anarki,Hall tree,9,hatstand
anarkist,Infant bed,169,bed
anatomi,Cabinetry,89,cabinet
anblick,Liquor cabinet,79,cabinet
anbringa,Floating shelf,29,shelf
anbud,Sleigh bed,149,bed
and,Futon,179,bed
anda,Platform bed,129,bed
andakt,Pinball machine,69,arcade
andan,Platform bed,109,bed
ande,Liquor cabinet,19,cabinet
andel,Cabinetry,39,cabinet
andemening,Jukebox,139,record player
andetag,Plan chest,69,cabinet
andfådd,Toddler bed,159,bed
andlig,Pinball machine,59,arcade
andning,Liquor cabinet,49,cabinet
androgyn,Hatstand,29,hatstand
andrum,Murphy bed,229,bed
anekdot,Bean bag,9,bean bag
anemi,Hammock,49,hammock
anestesi,Accubita,19,accubita
anfader,Wardrobe,129,wardrobe
anfall,Toddler bed,89,bed
anfang,Bunk bed,229,bed
anfrätt,Hoosier cabinet,19,cabinet
anfäkta,Filing cabinet,79,cabinet
anförande,Curio cabinet,69,cabinet
anföring,Bathroom cabinet,139,cabinet
anförvant,Wardrobe,159,wardrobe
angelägen,Wine rack,4,rack
angenäm,Gun cabinet,69,cabinet
angrepp,Kitchen cabinet,89,cabinet
angränsande,Footstool,29,footstool
anhalt,Platform bed,199,bed
anhopning,Daybed,109,bed
anhållan,Radio receiver,89,radio receiver
anhållande,Chest of drawers,59,drawers
anhängare,Tuffet,119,room
anhörig,Billiard table,59,table
animalisk,Curio cabinet,99,cabinet
animerad,Floating shelf,79,shelf
aning,Tuffet,29,room
aningslös,Baker's rack,14,rack
anis,Chess table,69,table
anka,Canopy bed,249,bed
ankar,Piano,9,music
ankare,Hoosier cabinet,9,cabinet
ankel,Murphy bed,79,bed
anklaga,Entertainment center,29,hifi system
anklagelse,Platform bed,209,bed
anklang,Mattress,89,mattress
anknytning,Pinball machine,149,arcade
ankomst,Chess table,139,table
ankra,Jukebox,79,record player
anlag,Gun cabinet,49,cabinet
anledning,Daybed,149,bed
anlete,Kitchen cabinet,99,cabinet
anlita,Baker's rack,24,rack
anläggning,Footstool,19,footstool
anmana,Chest of drawers,129,drawers
anmodan,Chess table,109,table
anmoda,Closet,139,closet
anmälan,Chess table,29,table
anmälning,Plant stand,39,potted plant
anmärkning,Kitchen cabinet,19,cabinet
annandag,Chest of drawers,29,drawers
annektera,Mattress,59,mattress
annex,Piano,59,music
annons,Nightstand,29,nightstand
annonsera,Bean bag,9,bean bag
annullera,Hatstand,19,hatstand
anonym,Bar cabinet,9,cabinet
anor,Hatstand,39,hatstand
anorak,Closet,79,closet
anordna,Toddler bed,259,bed
anordning,Closet,29,closet
anorexi,Infant bed,199,bed
anpassa,Chifforobe,119,room
anpasslig,Nightstand,19,nightstand
anpassning,Chifforobe,129,room
anrik,Footstool,9,footstool
anrika,Pinball machine,179,arcade
anropa,Floating shelf,109,shelf
anrätta,Pantry,49,kitchen
anrättning,Cupboard,9,cupboard
ansamling,Filing cabinet,89,cabinet
ansa,Cupboard,9,cupboard
ansats,Entertainment center,109,hifi system
ansedd,Piano,39,music
anseende,Hall tree,9,hatstand
ansenlig,Hall tree,29,hatstand
ansikte,Gun cabinet,19,cabinet
ansjovis,Gun cabinet,19,cabinet
anskaffa,Stipo a bambocci,19,room
anskrämlig,Floating shelf,19,shelf
anslag,Hoosier cabinet,39,cabinet
anslutning,Daybed,149,bed
anspela,Hammock,29,hammock
anspråk,Filing cabinet,9,cabinet
anspråkslös,Canopy bed,149,bed
anstalt,Floating shelf,69,shelf
anstormning,Floating shelf,109,shelf
anstånd,Hammock,29,hammock
anställd,Sleigh bed,99,bed
anställning,Bar cabinet,69,cabinet
anständig,Nightstand,39,nightstand
anstöt,Infant bed,209,bed
anstötlig,Cabinetry,89,cabinet
ansvar,Radio receiver,119,radio receiver
ansvara,Television set,9,television
ansvarig,Chest of drawers,39,drawers
ansvarslös,Waterbed,159,bed
ansökan,Infant bed,109,bed
ansökning,Liquor cabinet,39,cabinet
antagande,Billiard table,19,table
antagonist,Hammock,29,hammock
antal,Hammock,49,hammock
anta,Cabinetry,59,cabinet
antasta,Futon,249,bed
anteckna,Hatstand,29,hatstand
anteckning,Pinball machine,149,arcade
antenn,Mattress,89,mattress
antibiotika,Bookcase,9,bookcase
antik,Filing cabinet,9,cabinet
antiken,Filing cabinet,99,cabinet
antikvariat,Murphy bed,129,bed
antikverad,Pantry,29,kitchen
antikvitet,Curio cabinet,59,cabinet
antologi,Gun cabinet,9,cabinet
antropologi,Platform bed,239,bed
antydan,Radio receiver,39,radio receiver
antydning,Four-poster bed,129,bed
antågande,Footstool,9,footstool
anvisa,Hammock,19,hammock
anvisning,Television set,9,television
användbar,Canopy bed,159,bed
användning,Accubita,69,accubita
aorta,Hatstand,29,hatstand
apa,Bunk bed,169,bed
apanage,Mattress,79,mattress
apart,Curio cabinet,79,cabinet
apartheid,Daybed,199,bed
apati,Bookcase,9,bookcase
apatisk,Cupboard,9,cupboard
apelsin,Accubita,109,accubita
aperitif,Wine rack,4,rack
apostel,Wine rack,4,rack
apostrof,Futon,209,bed
apotek,Hatstand,19,hatstand
apparat,Stipo a bambocci,9,room
apparatur,Hoosier cabinet,49,cabinet
appell,Mattress,109,mattress
appellera,Radio receiver,129,radio receiver
appendicit,Kitchen cabinet,89,cabinet
appendix,Cupboard,9,cupboard
applicera,Piano,69,music
applikation,Chess table,69,table
applåd,Nightstand,39,nightstand
applådera,Billiard table,9,table
apportera,Piano,69,music
approach,Hatstand,39,hatstand
aprikos,Daybed,79,bed
april,Canopy bed,109,bed
aptera,Stipo a bambocci,29,room
aptit,Bar cabinet,59,cabinet
arabiska,Hammock,39,hammock
arbeta,Toddler bed,79,bed
arbetare,Tuffet,49,room
arbete,Bar cabinet,119,cabinet
arbetsam,Bathroom cabinet,79,cabinet
arbetslös,Wardrobe,79,wardrobe
area,Wine rack,44,rack
areal,Plant stand,39,potted plant
arena,Hoosier cabinet,39,cabinet
arg,Platform bed,99,bed
argentinare,Liquor cabinet,59,cabinet
argentinsk,Four-poster bed,179,bed
argsint,Chifforobe,59,room
argument,Bookcase,9,bookcase
argumentera,Gun cabinet,29,cabinet
aria,Futon,209,bed
aristokrat,Murphy bed,169,bed
aristokrati,Murphy bed,249,bed
arkad,Accubita,79,accubita
arkebusera,Mattress,59,mattress
arkeolog,Hall tree,9,hatstand
arkeologi,Floating shelf,49,shelf
arketyp,Curio cabinet,59,cabinet
arkipelag,Accubita,39,accubita
arkitekt,Pinball machine,39,arcade
arkitektur,Entertainment center,89,hifi system
arkiv,Bean bag,9,bean bag
armatur,Liquor cabinet,19,cabinet
armenier,Bar cabinet,9,cabinet
armenisk,Hoosier cabinet,59,cabinet
armeniska,Murphy bed,169,bed
armera,Baker's rack,4,rack
armering,Radio receiver,139,radio receiver
armod,Hammock,19,hammock
arom,Stipo a bambocci,29,room
arrangemang,Bar cabinet,19,cabinet
arrangera,Tuffet,69,room
arrangör,Hall tree,89,hatstand
arrendator,Murphy bed,169,bed
arrende,Toddler bed,119,bed
arrendera,Canopy bed,139,bed
arrest,Stipo a bambocci,29,room
arrestera,Jukebox,89,record player
arrogans,Bunk bed,249,bed
arrogant,Pantry,49,kitchen
arsenal,Bar cabinet,39,cabinet
arsle,Footstool,9,footstool
art,Gun cabinet,79,cabinet
artificiell,Chifforobe,109,room
artig,Hall tree,9,hatstand
artikel,Curio cabinet,159,cabinet
artikulera,Cupboard,9,cupboard
artilleri,Bookcase,9,bookcase
artist,Piano,29,music
artistisk,Canopy bed,69,bed
artär,Accubita,109,accubita
arv,Gun cabinet,59,cabinet
arvinge,Bookcase,9,bookcase
arvlös,Bean bag,9,bean bag
arvode,Wine rack,34,rack
arvtagare,Bean bag,9,bean bag
asbest,Daybed,209,bed
asfalt,Entertainment center,59,hifi system
asfaltera,Footstool,29,footstool
asiat,Canopy bed,69,bed
asiatisk,Bunk bed,219,bed
ask,Bean bag,9,bean bag
aska,Hammock,29,hammock
aska,Jukebox,69,record player
asket,Hammock,19,hammock
askonsdagen,Toddler bed,69,bed
asocial,Floating shelf,69,shelf
asp,Radio receiver,19,radio receiver
aspekt,Sleigh bed,209,bed
aspirant,Chifforobe,139,room
aspirera,Nightstand,39,nightstand
assiett,Gun cabinet,69,cabinet
assimilera,Gun cabinet,9,cabinet
assistent,Futon,69,bed
assistera,Waterbed,69,bed
assistens,Murphy bed,139,bed
association,Bunk bed,89,bed
associera,Infant bed,249,bed
assurans,Cupboard,9,cupboard
assurera,Jukebox,149,record player
assyrier,Sleigh bed,149,bed
assyrisk,Pantry,99,kitchen
aster,Chest of drawers,49,drawers
asterisk,Hatstand,39,hatstand
astigmatisk,Television set,9,television
astma,Pinball machine,109,arcade
astrologi,Waterbed,249,bed
astronaut,Bathroom cabinet,79,cabinet
astronomi,Chifforobe,99,room
asyl,Chess table,79,table
atavistisk,Wine rack,14,rack
ateist,Bar cabinet,79,cabinet
atlas,Canopy bed,79,bed
atlet,Wine rack,14,rack
atmosfär,Cabinetry,99,cabinet
atom,Hoosier cabinet,19,cabinet
attack,Jukebox,109,record player
attackera,Bookcase,9,bookcase
attentat,Four-poster bed,169,bed
attest,Hall tree,19,hatstand
attestera,Billiard table,69,table
attiralj,Curio cabinet,9,cabinet
attityd,Hammock,49,hammock
attrahera,Hatstand,29,hatstand
attraktion,Daybed,69,bed
attraktiv,Plant stand,19,potted plant
attribut,Accubita,119,accubita
audiens,Cupboard,9,cupboard
auditorium,Sleigh bed,219,bed
augusti,Cabinetry,79,cabinet
auktion,Plan chest,99,cabinet
auktorisera,Platform bed,89,bed
auktoritet,Platform bed,259,bed
auktoritär,Footstool,9,footstool
aula,Bathroom cabinet,59,cabinet
auskultera,Waterbed,189,bed
australisk,Filing cabinet,29,cabinet
autentisk,Nightstand,39,nightstand
autograf,Stipo a bambocci,19,room
automat,Tuffet,139,room
automatisk,Waterbed,159,bed
autonom,Infant bed,79,bed
avancerad,Nightstand,29,nightstand
avancera,Tuffet,59,room
avantgarde,Bean bag,9,bean bag
avart,Canopy bed,69,bed
avbalka,Bunk bed,259,bed
avbalkning,Platform bed,129,bed
avbetalning,Canopy bed,209,bed
avbild,Bookcase,9,bookcase
avbilda,Hoosier cabinet,9,cabinet
avbrott,Pantry,9,kitchen
avbräck,Television set,9,television
avbön,Futon,209,bed
avdankad,Toddler bed,209,bed
avdela,Hoosier cabinet,49,cabinet
avdelning,Tuffet,79,room
avdrag,Floating shelf,89,shelf
avel,Curio cabinet,69,cabinet
aveny,Hammock,39,hammock
aversion,Kitchen cabinet,59,cabinet
avfall,Nightstand,29,nightstand
avfart,Billiard table,59,table
avfyra,Closet,69,closet
avfälling,Piano,39,music
avfärd,Daybed,119,bed
avfärda,Closet,9,closet
avföring,Canopy bed,209,bed
avgas,Bean bag,9,bean bag
avgift,Bar cabinet,109,cabinet
avgjord,Wine rack,4,rack
avgrund,Waterbed,109,bed
avgränsa,Radio receiver,69,radio receiver
avguda,Waterbed,69,bed
avgång,Piano,49,music
avhandling,Closet,29,closet
avhopp,Chess table,29,table
avhoppare,Entertainment center,109,hifi system
avi,Toddler bed,69,bed
avig,Hammock,9,hammock
avisera,Radio receiver,49,radio receiver
avkall,Four-poster bed,139,bed
avkastning,Entertainment center,19,hifi system
avkomling,Bean bag,9,bean bag
avkomma,Wardrobe,69,wardrobe
avkoppling,Baker's rack,24,rack
avkrok,Bunk bed,259,bed
avkunna,Wardrobe,39,wardrobe
avla,Pinball machine,119,arcade
avlasta,Bean bag,9,bean bag
avlat,Curio cabinet,49,cabinet
avlelse,Plant stand,39,potted plant
avliva,Radio receiver,109,radio receiver
avlopp,Footstool,9,footstool
avlossa,Tuffet,149,room
avlyssna,Chess table,149,table
avlång,Pantry,119,kitchen
avlägsen,Sleigh bed,109,bed
avlägsna,Hammock,39,hammock
avlämna,Bathroom cabinet,39,cabinet
avlöna,Bathroom cabinet,29,cabinet
avlöning,Floating shelf,99,shelf
avmagrad,Floating shelf,79,shelf
avmätt,Infant bed,89,bed
avog,Liquor cabinet,79,cabinet
avokado,Hammock,49,hammock
avpassad,Gun cabinet,9,cabinet
avpassa,Entertainment center,49,hifi system
avresa,Gun cabinet,49,cabinet
avrunda,Bathroom cabinet,9,cabinet
avrusta,Daybed,189,bed
avrätta,Bunk bed,119,bed
avsaknad,Baker's rack,24,rack
avsats,Cupboard,9,cupboard
avseende,Plan chest,139,cabinet
avsevärd,Pantry,29,kitchen
avsikt,Hall tree,9,hatstand
avsiktlig,Footstool,19,footstool
avskaffa,Stipo a bambocci,29,room
avsked,Closet,59,closet
avskeda,Waterbed,259,bed
avskild,Daybed,179,bed
avskrift,Four-poster bed,229,bed
avskrivning,Bunk bed,99,bed
avskräde,Liquor cabinet,9,cabinet
avskum,Piano,39,music
avsky,Radio receiver,59,radio receiver
avskyvärd,Closet,79,closet
avskärma,Wardrobe,69,wardrobe
avslag,Footstool,19,footstool
avslagen,Bookcase,9,bookcase
avsluta,Bar cabinet,59,cabinet
avslutning,Chess table,99,table
avslöja,Waterbed,259,bed
avsmak,Jukebox,59,record player
avsnitt,Hatstand,19,hatstand
avspegla,Plan chest,69,cabinet
avspelning,Pantry,9,kitchen
avspisa,Television set,9,television
avspänd,Piano,59,music
avspänning,Curio cabinet,29,cabinet
avspärra,Liquor cabinet,49,cabinet
avstamp,Hoosier cabinet,59,cabinet
avstava,Mattress,19,mattress
avsteg,Daybed,259,bed
avstickare,Canopy bed,239,bed
avstånd,Bookcase,9,bookcase
avställning,Billiard table,69,table
avsyna,Piano,49,music
avsändare,Bookcase,9,bookcase
avsättning,Four-poster bed,169,bed
avsöndra,Closet,59,closet
avtacka,Murphy bed,199,bed
avtal,Kitchen cabinet,79,cabinet
avtala,Cabinetry,49,cabinet
avtjäna,Mattress,29,mattress
avtryckare,Kitchen cabinet,59,cabinet
avtåga,Nightstand,39,nightstand
avund,Toddler bed,99,bed
avvakta,Hall tree,19,hatstand
avveckla,Pantry,39,kitchen
avverka,Bean bag,9,bean bag
avvikelse,Bean bag,9,bean bag
avvisa,Chest of drawers,79,drawers
avvisning,Murphy bed,249,bed
avvägar,Baker's rack,4,rack
avväpnande,Tuffet,129,room
avväpna,Cupboard,9,cupboard
avyttra,Gun cabinet,49,cabinet
ax,Hall tree,89,hatstand
axel,Jukebox,119,record player
axiom,Chifforobe,79,room
axla,Toddler bed,249,bed
ayatolla,Chess table,149,table
azalea,Accubita,19,accubita
babbla,Billiard table,69,table
babord,Radio receiver,49,radio receiver
baby,Daybed,139,bed
bacill,Hatstand,9,hatstand
backa,Billiard table,59,table
backe,Television set,9,television
bacon,Canopy bed,229,bed
bada,Plan chest,49,cabinet
baddare,Pinball machine,49,arcade
badminton,Piano,59,music
bag,Tuffet,69,room
bagage,Chifforobe,9,room
bagare,Curio cabinet,119,cabinet
bagatell,Piano,29,music
bageri,Curio cabinet,119,cabinet
bagett,Gun cabinet,59,cabinet
bagge,Television set,9,television
bajonett,Hatstand,9,hatstand
bajs,Billiard table,29,table
bajsa,Floating shelf,39,shelf
baka,Wine rack,34,rack
bakelse,Jukebox,129,record player
bakre,Futon,119,bed
bakterie,Stipo a bambocci,19,room
balans,Bunk bed,129,bed
balansera,Liquor cabinet,39,cabinet
balett,Baker's rack,14,rack
balja,Futon,249,bed
balk,Baker's rack,34,rack
balkong,Bar cabinet,19,cabinet
ballad,Stipo a bambocci,9,room
ballerina,Plant stand,19,potted plant
ballong,Chest of drawers,9,drawers
balsam,Hall tree,69,hatstand
balsamera,Bean bag,9,bean bag
balt,Floating shelf,59,shelf
baltisk,Piano,49,music
balustrad,Plan chest,119,cabinet
bambu,Footstool,19,footstool
bana,Platform bed,109,bed
banal,Bar cabinet,29,cabinet
banan,Bean bag,9,bean bag
bana,Pantry,89,kitchen
banbrytare,Footstool,19,footstool
bandage,Waterbed,139,bed
banda,Canopy bed,69,bed
banderoll,Billiard table,19,table
bandit,Infant bed,219,bed
bandy,Pinball machine,99,arcade
baner,Bean bag,9,bean bag
bang,Waterbed,109,bed
banka,Infant bed,109,bed
bankett,Canopy bed,69,bed
bankir,Kitchen cabinet,99,cabinet
bankomat,Gun cabinet,89,cabinet
bann,Hall tree,9,hatstand
bannor,Cabinetry,109,cabinet
banta,Wardrobe,49,wardrobe
baptist,Bookcase,9,bookcase
barack,Pantry,29,kitchen
barbarisk,Infant bed,159,bed
barberare,Canopy bed,209,bed
bard,Plan chest,29,cabinet
bark,Daybed,199,bed
barkass,Waterbed,199,bed
barkis,Infant bed,139,bed
barlast,Wine rack,14,rack
barm,Infant bed,79,bed
barmhärtig,Bean bag,9,bean bag
barn,Jukebox,119,record player
barndom,Liquor cabinet,29,cabinet
barnslig,Hatstand,29,hatstand
barometer,Entertainment center,69,hifi system
baron,Bean bag,9,bean bag
barrikad,Entertainment center,39,hifi system
barriär,Bean bag,9,bean bag
barsk,Bunk bed,159,bed
baryton,Accubita,59,accubita
basera,Mattress,89,mattress
basilika,Stipo a bambocci,9,room
basis,Bookcase,9,bookcase
bask,Kitchen cabinet,89,cabinet
basker,Piano,9,music
basket,Bunk bed,209,bed
baskisk,Floating shelf,59,shelf
bassäng,Daybed,139,bed
bast,Floating shelf,99,shelf
bastant,Billiard table,59,table
basta,Chess table,39,table
bastard,Hammock,19,hammock
bastion,Closet,79,closet
bastu,Baker's rack,4,rack
basun,Cupboard,9,cupboard
batalj,Liquor cabinet,49,cabinet
bataljon,Closet,59,closet
batik,Television set,9,television
batist,Hatstand,9,hatstand
batong,Futon,159,bed
batteri,Mattress,119,mattress
baxna,Filing cabinet,89,cabinet
bazooka,Wardrobe,9,wardrobe
beakta,Infant bed,149,bed
bearbeta,Radio receiver,109,radio receiver
beatnik,Nightstand,39,nightstand
bebodd,Baker's rack,4,rack
bebyggelse,Gun cabinet,9,cabinet
bebåda,Hall tree,39,hatstand
bebådelse,Bar cabinet,129,cabinet
beck,Wardrobe,89,wardrobe
bedagad,Filing cabinet,59,cabinet
bedarra,Stipo a bambocci,19,room
bedjande,Plant stand,39,potted plant
bedragare,Daybed,219,bed
bedrift,Toddler bed,119,bed
bedrägeri,Wardrobe,169,wardrobe
bedräglig,Nightstand,9,nightstand
bedrövad,Radio receiver,139,radio receiver
bedröva,Chest of drawers,49,drawers
bedrövelse,Infant bed,159,bed
bedrövlig,Chess table,79,table
beduin,Chifforobe,149,room
bedyra,Pinball machine,99,arcade
bedåra,Liquor cabinet,29,cabinet
bedömning,Bathroom cabinet,29,cabinet
bedövning,Baker's rack,34,rack
befallning,Wardrobe,79,wardrobe
befara,Futon,79,bed
befattning,Chifforobe,89,room
befintlig,Television set,9,television
befläcka,Entertainment center,49,hifi system
befogad,Accubita,39,accubita
befogenhet,Cupboard,9,cupboard
befolka,Mattress,39,mattress
befolkning,Radio receiver,9,radio receiver
befordran,Pinball machine,149,arcade
befordra,Infant bed,79,bed
befriande,Wardrobe,79,wardrobe
befria,Jukebox,39,record player
befrielse,Hoosier cabinet,39,cabinet
befrukta,Hatstand,19,hatstand
befruktning,Accubita,109,accubita
befrämja,Waterbed,239,bed
befäl,Plan chest,59,cabinet
befängd,Canopy bed,79,bed
befästning,Hall tree,29,hatstand
begagna,Billiard table,29,table
begeistrad,Hammock,19,hammock
begivenhet,Futon,139,bed
begonia,Footstool,19,footstool
begravning,Hatstand,9,hatstand
begrepp,Hoosier cabinet,39,cabinet
begriplig,Accubita,109,accubita
begrunda,Bean bag,9,bean bag
begränsa,Curio cabinet,89,cabinet
begränsning,Bathroom cabinet,9,cabinet
begynnande,Stipo a bambocci,29,room
begynnelse,Platform bed,239,bed
begåvad,Hammock,29,hammock
begåva,Futon,129,bed
begåvning,Murphy bed,259,bed
begäran,Floating shelf,9,shelf
begärlig,Curio cabinet,9,cabinet
behag,Hammock,9,hammock
behaga,Wine rack,4,rack
behaglig,Baker's rack,4,rack
behandla,Infant bed,159,bed
behandling,Gun cabinet,19,cabinet
behaviorism,Bunk bed,189,bed
behjälplig,Entertainment center,69,hifi system
behov,Plan chest,69,cabinet
behå,Stipo a bambocci,29,room
behåll,Bathroom cabinet,149,cabinet
behållare,Billiard table,59,table
behållning,Plant stand,19,potted plant
behäftad,Hatstand,39,hatstand
behändig,Stipo a bambocci,19,room
behärskad,Chess table,99,table
behärska,Tuffet,69,room
behärskning,Cabinetry,119,cabinet
behörig,Radio receiver,119,radio receiver
behövande,Wardrobe,119,wardrobe
beige,Mattress,39,mattress
beivra,Jukebox,79,record player
bejaka,Gun cabinet,69,cabinet
bekantskap,Bunk bed,129,bed
beklaga,Canopy bed,89,bed
beklaglig,Hammock,49,hammock
beklädnad,Stipo a bambocci,29,room
beklämd,Bunk bed,209,bed
beklämmande,Footstool,29,footstool
bekosta,Tuffet,49,room
bekostnad,Waterbed,99,bed
bekräfta,Hoosier cabinet,19,cabinet
bekräftelse,Wardrobe,119,wardrobe
bekväm,Jukebox,39,record player
bekymmer,Chess table,109,table
bekymrad,Kitchen cabinet,19,cabinet
bekämpa,Pinball machine,109,arcade
bekämpning,Stipo a bambocci,9,room
bekännelse,Waterbed,99,bed
belackare,Television set,9,television
